dv-loss-dmg,COST-B.10.35.001-B.10.35.001,COST-B.20.22.001-B.20.22.001,COST-C.10.11.001b-C.10.11.001b,COST-C.10.11.001c-C.10.11.001c,COST-C.30.11.001b-C.30.11.001b,COST-C.30.11.002c-C.30.11.002c,COST-C.30.27.002-C.30.27.002,COST-C.30.32.003a-C.30.32.003a,COST-C.30.32.003b-C.30.32.003b,COST-C.30.34.002-C.30.34.002,COST-D.10.14.021-D.10.14.021,COST-D.30.31.013h-D.30.31.013h,COST-D.30.41.011c-D.30.41.011c,COST-D.30.52.013k-D.30.52.013k,COST-D.30.67.012b-D.30.67.012b,COST-D.40.11.053a-D.40.11.053a,COST-replacement-collapse,COST-replacement-irreparable,TIME-B.10.35.001-B.10.35.001,TIME-B.20.22.001-B.20.22.001,TIME-C.10.11.001b-C.10.11.001b,TIME-C.10.11.001c-C.10.11.001c,TIME-C.30.11.001b-C.30.11.001b,TIME-C.30.11.002c-C.30.11.002c,TIME-C.30.27.002-C.30.27.002,TIME-C.30.32.003a-C.30.32.003a,TIME-C.30.32.003b-C.30.32.003b,TIME-C.30.34.002-C.30.34.002,TIME-D.10.14.021-D.10.14.021,TIME-D.30.31.013h-D.30.31.013h,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.52.013k-D.30.52.013k,TIME-D.30.67.012b-D.30.67.012b,TIME-D.40.11.053a-D.40.11.053a,TIME-replacement-collapse,TIME-replacement-irreparable
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,740082.200119214,336753.0495762987,162699.4192385409,35051.05595612749,33604.95117801134,360297.51645608264,150187.06914643222,63938.89894731337,49651.9873734304,58362.257857185425,38277.777037432155,212501.26680170177,3782.8432970824792,12416.76757417685,521.6208544017119,826.371235796666,1680003.9330577955,1199994.1106016312,443.7361885085503,153.527062666978,128.26867991651343,28.302176621496788,32.266212218936495,343.9160438437535,160.87419991567998,63.24782588634799,46.875372176659965,59.30393706232607,35.98111789835569,47.0572768172972,2.134820853006582,2.7873205435682,0.19143297201110943,0.8100947676287299,60.47998309151498,43.20010391488992
std,477215.1653526301,202802.23082722747,70590.17796302719,15180.949469081737,14007.605002863282,148804.37457717073,354162.35311831476,71211.30192155013,53911.04763935036,57757.876741612636,29284.43905824352,131529.52939979924,5220.685218456245,48448.86691279418,1742.526301682655,808.3422044583394,5553325.396270287,4754470.374110696,287.4498748265928,94.05533319421845,57.2592946953554,12.677546303930372,13.924915064789275,147.30565077067592,291.78267138338583,69.75808305910549,52.306713443718856,55.86665607684913,28.105849757712676,32.25107473872075,2.487333497265225,9.743787949187343,0.6368621776051563,0.8781316103766292,199.91919034032873,171.16218522052625
log_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.9%,126535.65755931532,125143.70540253111,121547.68554003129,31758.585539987507,33971.63933678128,383894.9706391198,4414.214508093653,47.96765756732045,0.0,5416.578250888562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.01377403741193,57.8962246107561,95.08109197283838,23.283354877793215,28.87559305987125,316.11022365114025,6.380478965621436,0.03905151832643058,0.0,4.955613288540385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,745538.5746676223,349498.47575598233,187334.20132066723,39469.4688544871,38673.461105817434,417180.0481439702,69750.22672143413,48447.35521758051,30175.205986728663,45929.13718545885,34036.46692358471,258428.91136439575,930.3731840726846,0.0,0.0,649.5524558005238,0.0,0.0,438.80840307670064,150.5800783446894,144.92356465015047,31.34489723031415,36.1367607882615,392.88158148093555,77.3847725478661,49.086565912845515,25.916870037090746,46.50449356196897,32.705559253103246,52.732034600319,1.1952521084872771,0.0,0.0,0.6268226718368088,0.0,0.0
84.1%,1257728.6476715945,549106.2350293624,209861.35679108492,45084.82186687078,41685.08874196418,435951.22545746603,243583.20720828898,119482.37854607607,114177.31490720762,104900.47432511396,70550.93443412385,322137.7308215705,8624.694023868935,2128.8683570098965,0.0,1674.3600486792823,0.0,0.0,775.944656768852,257.27974377639896,169.35205483549248,37.42813987696509,42.06932563761104,443.04599377572595,251.62771573430874,114.05865768942103,103.33937085222823,109.78009659757356,66.17672764505602,77.0348816139727,4.932664635493909,2.2950433661149345,0.0,1.6207124511242539,0.0,0.0
90%,1366434.7487421706,602837.5065321646,217280.58126503526,46427.89978492381,42577.41763800869,442244.5585722852,330189.22978918976,151031.26684987947,129261.37063767028,127775.2254603228,77353.65124611417,340148.5456225837,11308.269776287118,2539.398341904968,0.0,1941.9238325982594,0.0,0.0,827.4164453998055,274.79357716217316,176.45681987719675,39.59459793628417,43.30812235795589,458.79741740767855,345.8118924396014,152.08575967559096,122.0528751097402,129.26359572946598,74.27738331454103,84.27729928041887,5.805154796232121,3.150827959641459,0.0,2.115883490205106,0.0,0.0
97.7%,1645203.7165261172,697882.0592031364,232206.54611580184,53236.67356375376,44273.944892506646,452811.8431531166,678306.4338700692,280213.6906695504,168642.53347996136,236408.13302980605,98174.46746273388,392439.4574816957,18277.649225704827,218034.2785687775,5716.471614584389,2658.336205454673,20000120.92499061,19999935.40040168,943.4335340580806,325.6478084975319,200.62941024456813,45.659482756821824,47.78726801384452,494.76157673143706,1083.699478117394,260.84901430950134,165.42668594194294,212.88169670124816,94.58174349837118,104.50529567940876,8.069432205048278,40.94697897948389,2.62584875169301,2.9486800840607343,720.0051711506045,720.0029794546541
99.9%,1910780.6909861087,815839.0430458748,263828.8028264097,59718.42324754552,47013.012625657844,475578.6587062134,4490464.28739997,400215.75121492683,232026.01616624492,365722.10472631356,139273.58261210166,455080.8410300247,24006.817125800855,248929.1444145696,12091.791171449036,3669.6681708504548,20000565.243280612,20000269.302518625,1156.5455255774384,383.52881413101676,242.86794910630283,56.80958804318753,55.445832384191064,528.6426035584162,2561.8249786975375,363.8740936388099,235.12488393636679,300.7263747384518,141.20666869112452,142.8208415837114,12.003897447662597,62.229949296583314,3.8388853825455027,4.432307538088073,720.0136927263578,720.0134376430966
max,1927793.198615149,844715.8737851327,277061.9597660972,59932.13706558928,47199.56262073913,486158.43631571496,5944120.153345153,433044.51028228656,237879.43828517452,394461.91157061467,149657.3452206221,464634.60604731855,25208.930623234857,252844.4261012204,12765.704269966182,3756.2781458027366,20000591.17357131,20000291.064502485,1208.4144221881725,395.7984251184614,257.42120542510423,60.255606248427604,56.63768766562124,531.2070267864796,2777.588442105744,370.25962358021064,252.9646236260447,300.8689325885114,172.50532045965838,149.070625256236,12.987033827857347,63.95415420520359,4.091765792995772,4.556951041729399,720.0140690054285,720.0143112093747
