Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,11,0,0.124,0.4,0.0244
2,Intensity 2,11,0,0.271,0.4,0.00906
3,Intensity 3,11,0,0.419,0.4,0.00414
4,Intensity 4,11,0,0.566,0.4,0.00236
5,Intensity 5,11,0,0.714,0.4,0.00129
6,Intensity 6,11,0,0.861,0.4,0.000793
7,Intensity 7,11,0,1.009,0.4,0.000452
8,Intensity 8,11,0,1.156,0.4,0.00027

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11
1,Story Drift Ratio,1,1,0.003155,0.003631,0.00369,0.002976,0.002321,0.003274,0.003214,0.003274,0.003452,0.002857,0.004107
1,Story Drift Ratio,1,2,0.002917,0.003571,0.003095,0.002976,0.00256,0.002857,0.003155,0.003214,0.002857,0.002976,0.002857
1,Story Drift Ratio,2,1,0.005725,0.00587,0.00558,0.005652,0.005435,0.00587,0.005725,0.005362,0.005652,0.00558,0.005725
1,Story Drift Ratio,2,2,0.005725,0.005725,0.005725,0.005725,0.005362,0.00558,0.005652,0.005507,0.00558,0.005507,0.005652
1,Story Drift Ratio,3,1,0.00529,0.006667,0.005652,0.00529,0.007101,0.00587,0.006522,0.006377,0.005217,0.005507,0.007101
1,Story Drift Ratio,3,2,0.00558,0.007681,0.006377,0.005507,0.006014,0.005652,0.005507,0.005362,0.007029,0.005942,0.006304
1,Acceleration,1,1,0.1,0.15,0.09,0.07,0.17,0.08,0.11,0.13,0.12,0.12,0.1
1,Acceleration,1,2,0.04,0.12,0.08,0.07,0.11,0.07,0.08,0.13,0.1,0.1,0.06
1,Acceleration,2,1,0.16,0.22,0.23,0.11,0.22,0.11,0.18,0.19,0.17,0.28,0.26
1,Acceleration,2,2,0.08,0.25,0.18,0.07,0.16,0.09,0.09,0.21,0.2,0.13,0.14
1,Acceleration,3,1,0.15,0.25,0.25,0.12,0.17,0.13,0.23,0.19,0.15,0.23,0.28
1,Acceleration,3,2,0.1,0.25,0.18,0.12,0.15,0.11,0.14,0.17,0.23,0.15,0.15
